input_size,asserts,metric,min,max,mean,stddev
10000,10000,write_vk,0.160,0.200,0.168,0.016
10000,10000,prove,0.400,0.410,0.406,0.005
10000,10000,verify,0.020,0.020,0.020,0.000
10000,10000,spartan_proof,0.473,0.480,0.476,0.002
10000,10000,spartan_verify,0.250,0.256,0.253,0.002
100000,10000,write_vk,1.210,1.250,1.226,0.016
100000,10000,prove,3.500,3.570,3.534,0.024
100000,10000,verify,0.020,0.020,0.020,0.000
100000,10000,spartan_proof,3.890,3.990,3.932,0.032
100000,10000,spartan_verify,2.100,2.160,2.132,0.023
