input_size,asserts,metric,min,max,mean,stddev
100,100,write_vk,0.030,0.040,0.032,0.004
100,100,prove,0.100,0.100,0.100,0.000
100,100,verify,0.020,0.020,0.020,0.000
100,100,spartan_proof,0.055,0.069,0.065,0.005
100,100,spartan_verify,0.036,0.039,0.037,0.001
1000,100,write_vk,0.050,0.050,0.050,0.000
1000,100,prove,0.160,0.170,0.164,0.005
1000,100,verify,0.020,0.020,0.020,0.000
1000,100,spartan_proof,0.092,0.111,0.107,0.007
1000,100,spartan_verify,0.055,0.057,0.056,0.001
10000,100,write_vk,0.150,0.160,0.152,0.004
10000,100,prove,0.400,0.410,0.406,0.005
10000,100,verify,0.020,0.020,0.020,0.000
10000,100,spartan_proof,0.443,0.456,0.451,0.005
10000,100,spartan_verify,0.235,0.246,0.241,0.004
100000,100,write_vk,1.230,1.250,1.242,0.007
100000,100,prove,3.580,3.670,3.612,0.037
100000,100,verify,0.020,0.020,0.020,0.000
100000,100,spartan_proof,3.660,3.710,3.686,0.016
100000,100,spartan_verify,2.040,2.070,2.050,0.011
