input_size,asserts,metric,min,max,mean,stddev
100,100,write_vk,0.020,0.020,0.020,0.000
100,100,prove,0.110,0.110,0.110,0.000
100,100,verify,0.010,0.010,0.010,0.000
100,100,spartan_proof,0.065,0.072,0.068,0.002
100,100,spartan_verify,0.045,0.052,0.047,0.003
1000,100,write_vk,0.030,0.050,0.036,0.008
1000,100,prove,0.140,0.150,0.146,0.005
1000,100,verify,0.010,0.010,0.010,0.000
1000,100,spartan_proof,0.112,0.116,0.114,0.002
1000,100,spartan_verify,0.064,0.068,0.066,0.001
10000,100,write_vk,0.140,0.140,0.140,0.000
10000,100,prove,0.430,0.450,0.440,0.006
10000,100,verify,0.010,0.010,0.010,0.000
10000,100,spartan_proof,0.485,0.577,0.507,0.035
10000,100,spartan_verify,0.278,0.303,0.289,0.010
100000,100,write_vk,1.200,1.240,1.216,0.014
100000,100,prove,2.910,3.170,2.976,0.098
100000,100,verify,0.010,0.010,0.010,0.000
100000,100,spartan_proof,3.930,6.500,4.474,1.014
100000,100,spartan_verify,2.050,2.110,2.086,0.023
